occ_date,occ_year,occ_month,occ_dow,occ_hour,occ_time_range,death,injuries,neighbourhood_158
2004-01-03,2004,January,Saturday,1,Night,0,0,NSA
2004-01-04,2004,January,Sunday,4,Night,0,2,Kensington-Chinatown (78)
2004-01-05,2004,January,Monday,13,Afternoon,0,1,Kennedy Park (124)
2004-01-06,2004,January,Tuesday,19,Evening,0,0,Malvern East (146)
2004-01-06,2004,January,Tuesday,19,Evening,0,0,Malvern East (146)
2004-01-08,2004,January,Thursday,8,Morning,1,0,Woburn North (142)
2004-01-08,2004,January,Thursday,14,Afternoon,1,0,Rustic (28)
2004-01-13,2004,January,Tuesday,18,Evening,0,1,Malvern West (145)
2004-01-18,2004,January,Sunday,19,Evening,0,1,Newtonbrook East (50)
2004-01-19,2004,January,Monday,10,Morning,0,0,Danforth East York (59)
2004-01-19,2004,January,Monday,23,Evening,0,0,Morningside Heights (144)
2004-01-23,2004,January,Friday,1,Night,0,1,Morningside (135)
2004-01-24,2004,January,Saturday,1,Night,0,1,Rustic (28)
2004-01-24,2004,January,Saturday,20,Evening,0,0,East L'Amoreaux (148)
2004-01-24,2004,January,Saturday,14,Afternoon,0,0,Woburn North (142)
2004-01-25,2004,January,Sunday,4,Night,1,0,Junction-Wallace Emerson (171)
2004-01-31,2004,January,Saturday,21,Evening,0,0,Yorkdale-Glen Park (31)
2004-02-21,2004,February,Saturday,11,Morning,0,0,North Toronto (173)
2004-02-26,2004,February,Thursday,19,Evening,0,1,Agincourt South-Malvern West (128)
2004-03-04,2004,March,Thursday,1,Night,1,0,Clairlea-Birchmount (120)
2004-03-07,2004,March,Sunday,1,Night,0,1,Elms-Old Rexdale (5)
2004-03-10,2004,March,Wednesday,21,Evening,0,2,Woburn North (142)
2004-03-13,2004,March,Saturday,22,Evening,0,0,Oakdale-Beverley Heights (154)
2004-03-14,2004,March,Sunday,18,Evening,0,1,West Humber-Clairville (1)
2004-03-14,2004,March,Sunday,18,Evening,0,1,Black Creek (24)
2004-03-19,2004,March,Friday,22,Evening,0,1,Scarborough Village (139)
2004-03-20,2004,March,Saturday,12,Afternoon,0,1,Woburn North (142)
2004-03-29,2004,March,Monday,11,Morning,0,0,Golfdale-Cedarbrae-Woburn (141)
2004-03-29,2004,March,Monday,9,Morning,0,0,Eglinton East (138)
2004-03-29,2004,March,Monday,16,Afternoon,0,0,Black Creek (24)
2004-04-05,2004,April,Monday,23,Evening,0,1,Humber Heights-Westmount (8)
2004-04-05,2004,April,Monday,20,Evening,0,0,East L'Amoreaux (148)
2004-04-05,2004,April,Monday,20,Evening,0,0,East L'Amoreaux (148)
2004-04-11,2004,April,Sunday,1,Night,0,1,Kensington-Chinatown (78)
2004-04-12,2004,April,Monday,22,Evening,0,0,Malvern East (146)
2004-04-13,2004,April,Tuesday,20,Evening,1,0,Elms-Old Rexdale (5)
2004-04-14,2004,April,Wednesday,23,Evening,0,0,South Parkdale (85)
2004-04-14,2004,April,Wednesday,22,Evening,0,1,East L'Amoreaux (148)
2004-04-16,2004,April,Friday,2,Night,0,1,Wellington Place (164)
2004-04-17,2004,April,Saturday,2,Night,0,1,Little Portugal (84)
2004-04-17,2004,April,Saturday,11,Morning,0,0,Black Creek (24)
2004-04-19,2004,April,Monday,3,Night,0,0,Yonge-Bay Corridor (170)
2004-04-19,2004,April,Monday,12,Afternoon,0,2,High Park-Swansea (87)
