dates,hours,neighborhoods,deaths,injuries
2015-10-26,19,Neighborhood C,0,0
2016-10-25,13,Neighborhood C,0,3
2016-10-02,3,Neighborhood A,0,0
2020-11-05,17,Neighborhood C,0,0
2013-01-10,4,Neighborhood A,0,1
2012-03-22,21,Neighborhood B,0,0
2013-11-03,20,Neighborhood C,0,0
2010-11-18,23,Neighborhood B,0,0
2015-08-28,5,Neighborhood C,1,0
2010-07-19,17,Neighborhood C,0,0
2016-08-18,2,Neighborhood B,0,1
2022-11-05,12,Neighborhood C,0,0
2008-09-18,4,Neighborhood B,0,1
2004-06-08,12,Neighborhood B,0,0
2015-10-06,2,Neighborhood C,0,0
2005-05-02,10,Neighborhood C,0,1
2017-08-12,8,Neighborhood B,0,0
2020-02-19,21,Neighborhood A,0,3
2019-01-01,19,Neighborhood A,0,0
2009-12-25,6,Neighborhood B,0,0
2022-10-15,19,Neighborhood A,0,0
2019-08-10,19,Neighborhood A,0,0
2016-12-13,8,Neighborhood B,0,1
2014-02-07,17,Neighborhood C,0,0
2004-06-08,9,Neighborhood A,0,1
2023-06-07,10,Neighborhood A,0,0
2019-11-16,2,Neighborhood B,0,1
2010-04-24,9,Neighborhood B,0,1
2013-04-21,12,Neighborhood C,0,0
2023-12-09,21,Neighborhood C,0,1
2018-11-21,23,Neighborhood C,0,0
2009-10-19,10,Neighborhood C,0,0
2014-05-16,22,Neighborhood B,0,1
2005-04-09,21,Neighborhood C,1,0
2012-09-26,3,Neighborhood B,0,0
2017-03-19,5,Neighborhood A,0,0
2017-11-25,6,Neighborhood B,1,0
2016-02-11,4,Neighborhood C,0,1
2012-10-24,23,Neighborhood C,0,0
2016-12-20,9,Neighborhood B,0,0
2006-11-25,12,Neighborhood A,0,1
2016-09-19,8,Neighborhood C,0,0
2022-12-08,13,Neighborhood B,0,1
2023-01-03,20,Neighborhood A,0,2
2011-10-11,23,Neighborhood C,0,0
2012-02-12,21,Neighborhood C,1,3
2017-09-11,11,Neighborhood C,0,2
2011-05-19,19,Neighborhood B,0,0
2013-08-10,18,Neighborhood B,0,0
2010-09-27,12,Neighborhood A,0,0
2019-04-19,20,Neighborhood C,0,0
2020-08-06,17,Neighborhood A,0,0
2015-04-19,1,Neighborhood B,0,1
2009-10-01,22,Neighborhood C,0,1
2017-06-23,15,Neighborhood A,0,0
2023-12-26,14,Neighborhood B,0,0
2006-10-11,9,Neighborhood C,0,1
2012-03-22,19,Neighborhood A,0,0
2019-04-28,18,Neighborhood B,0,0
2021-02-08,3,Neighborhood C,0,0
2009-04-20,13,Neighborhood B,0,0
2020-01-19,4,Neighborhood B,0,0
2017-10-04,0,Neighborhood B,0,0
2007-05-27,15,Neighborhood C,1,1
2016-11-23,4,Neighborhood B,0,0
2005-06-11,7,Neighborhood A,0,0
2007-03-13,16,Neighborhood B,0,0
2004-10-07,17,Neighborhood B,0,0
2009-09-20,4,Neighborhood C,0,0
2012-12-17,17,Neighborhood C,0,1
2015-11-24,6,Neighborhood B,0,1
2008-01-29,22,Neighborhood B,0,1
2016-09-01,10,Neighborhood B,0,0
2010-02-13,2,Neighborhood A,0,0
2007-11-28,7,Neighborhood C,0,0
2007-01-01,1,Neighborhood B,0,0
2016-03-24,4,Neighborhood B,0,0
2015-10-16,1,Neighborhood A,0,1
2019-01-28,23,Neighborhood C,0,1
2010-04-06,16,Neighborhood C,0,1
2010-12-06,16,Neighborhood B,0,0
2005-08-07,7,Neighborhood A,0,0
2016-06-07,6,Neighborhood B,0,0
2022-08-13,15,Neighborhood C,0,0
2012-07-05,8,Neighborhood B,0,1
2018-10-28,15,Neighborhood A,0,0
2012-12-25,8,Neighborhood C,0,0
2020-10-20,8,Neighborhood C,0,0
2020-02-05,0,Neighborhood C,1,0
2005-12-01,4,Neighborhood A,0,2
2023-04-09,8,Neighborhood A,0,1
2013-12-03,5,Neighborhood B,0,1
2016-02-08,6,Neighborhood C,0,0
2024-01-01,11,Neighborhood C,0,1
2012-03-27,1,Neighborhood C,0,0
2012-03-23,16,Neighborhood C,0,1
2012-08-13,13,Neighborhood A,0,0
2008-10-23,8,Neighborhood B,0,1
2006-05-22,16,Neighborhood B,0,0
2005-03-28,0,Neighborhood C,0,0
